2, RUE DE L AMIRAL DE COLIGNY, 75001 Paris, France
8, RUE DE L AMIRAL DE COLIGNY, 75001 Paris, France
15, RUE DE L ARBRE SEC, 75001 Paris, France
32, RUE DE L ARBRE SEC, 75001 Paris, France
1, RUE BAILLET, 75001 Paris, France
10, RUE BAILLET, 75001 Paris, France
4, RUE BERTIN POIREE, 75001 Paris, France
17, RUE BERTIN POIREE, 75001 Paris, France
1, RUE BOUCHER, 75001 Paris, France
12, RUE DES BOURDONNAIS, 75001 Paris, France
24, RUE DES BOURDONNAIS, 75001 Paris, France
1, PLACE DU CHATELET, 75001 Paris, France
6, PLACE DAUPHINE, 75001 Paris, France
29, PLACE DAUPHINE, 75001 Paris, France
3, RUE DES DEUX BOULES, 75001 Paris, France
9, RUE DES DEUX BOULES, 75001 Paris, France
1, PLACE DE L ECOLE, 75001 Paris, France
4, QUAI FRANCOIS MITTERRAND, 75001 Paris, France
16, QUAI FRANCOIS MITTERRAND, 75001 Paris, France
28, RUE HENRI ROBERT, 75001 Paris, France
29, RUE HENRI ROBERT, 75001 Paris, France
1, QUAI DE L HORLOGE, 75001 Paris, France
41, QUAI DE L HORLOGE, 75001 Paris, France
6, RUE JEAN LANTIER, 75001 Paris, France
15, RUE JEAN LANTIER, 75001 Paris, France
1, RUE DES LAVANDIERES SAINTE OPPORTUNE, 75001 Paris, France
17, RUE DES LAVANDIERES SAINTE OPPORTUNE, 75001 Paris, France
1, PLACE DU LOUVRE, 75001 Paris, France
4, PLACE DU LOUVRE, 75001 Paris, France
16, QUAI DU LOUVRE, 75001 Paris, France
34, QUAI DU LOUVRE, 75001 Paris, France
2, QUAI DE LA MEGISSERIE, 75001 Paris, France
20, QUAI DE LA MEGISSERIE, 75001 Paris, France
34, QUAI DES ORFEVRES, 75001 Paris, France
72, QUAI DES ORFEVRES, 75001 Paris, France
3, RUE DES ORFEVRES, 75001 Paris, France
11, RUE DES ORFEVRES, 75001 Paris, France
4, BOULEVARD DU PALAIS, 75001 Paris, France
1, RUE PERRAULT, 75001 Paris, France
6, RUE PERRAULT, 75001 Paris, France
6, RUE DES PRETRES ST GERMAIN L AUXERROIS, 75001 Paris, France
13, RUE DES PRETRES ST GERMAIN L AUXERROIS, 75001 Paris, France
43, RUE DE RIVOLI, 75001 Paris, France
89, RUE DE RIVOLI, 75001 Paris, France
3, BOULEVARD DE SEBASTOPOL, 75001 Paris, France
7, BOULEVARD DE SEBASTOPOL, 75001 Paris, France
8, RUE SAINT DENIS, 75001 Paris, France
4, RUE SAINT GERMAIN L AUXERROIS, 75001 Paris, France
34, RUE SAINT GERMAIN L AUXERROIS, 75001 Paris, France
4, QUAI DES TUILERIES, 75001 Paris, France
6, QUAI DES TUILERIES, 75001 Paris, France
12, AVENUE VICTORIA, 75001 Paris, France
24, AVENUE VICTORIA, 75001 Paris, France
35, RUE DE L ARBRE SEC, 75001 Paris, France
66, RUE DE L ARBRE SEC, 75001 Paris, France
1, RUE BAILLEUL, 75001 Paris, France
11, RUE BAILLEUL, 75001 Paris, France
4, IMPASSE DES BOURDONNAIS, 75001 Paris, France
31, RUE DES BOURDONNAIS, 75001 Paris, France
41, RUE DES BOURDONNAIS, 75001 Paris, France
13, RUE JEAN TISON, 75001 Paris, France
1, RUE DU LOUVRE, 75001 Paris, France
20, RUE DU LOUVRE, 75001 Paris, France
2, RUE DE MARENGO, 75001 Paris, France
6, RUE DE MARENGO, 75001 Paris, France
1, RUE DE L ORATOIRE, 75001 Paris, France
8, RUE DE L ORATOIRE, 75001 Paris, France
12, RUE DU PONT NEUF, 75001 Paris, France
35, RUE DU PONT NEUF, 75001 Paris, France
130, RUE DE RIVOLI, 75001 Paris, France
156, RUE DE RIVOLI, 75001 Paris, France
2, RUE DU ROULE, 75001 Paris, France
25, RUE DU ROULE, 75001 Paris, France
2, RUE SAINT HONORE, 75001 Paris, France
168, RUE SAINT HONORE, 75001 Paris, France
3, RUE BERGER, 75001 Paris, France
23, RUE BERGER, 75001 Paris, France
32, RUE DES BOURDONNAIS, 75001 Paris, France
38, RUE DES BOURDONNAIS, 75001 Paris, France
2, RUE DE LA COSSONNERIE, 75001 Paris, France
14, RUE DE LA COSSONNERIE, 75001 Paris, France
1, RUE COURTALON, 75001 Paris, France
2, RUE COURTALON, 75001 Paris, France
3, RUE DES DECHARGEURS, 75001 Paris, France
9, RUE DES DECHARGEURS, 75001 Paris, France
3, RUE DE LA FERRONNERIE, 75001 Paris, France
31, RUE DE LA FERRONNERIE, 75001 Paris, France
2, RUE DES HALLES, 75001 Paris, France
22, RUE DES HALLES, 75001 Paris, France
1, RUE DES INNOCENTS, 75001 Paris, France
15, RUE DES INNOCENTS, 75001 Paris, France
25, RUE DE LA REYNIE, 75001 Paris, France
26, RUE DE LA REYNIE, 75001 Paris, France
23, RUE DES LAVANDIERES SAINTE OPPORTUNE, 75001 Paris, France
39, RUE DES LOMBARDS, 75001 Paris, France
66, RUE DES LOMBARDS, 75001 Paris, France
2, RUE PIERRE LESCOT, 75001 Paris, France
12, RUE PIERRE LESCOT, 75001 Paris, France
1, RUE DU PLAT D ETAIN, 75001 Paris, France
9, RUE DU PLAT D ETAIN, 75001 Paris, France
101, RUE RAMBUTEAU, 75001 Paris, France
104, RUE DE RIVOLI, 75001 Paris, France
118, RUE DE RIVOLI, 75001 Paris, France
11, BOULEVARD DE SEBASTOPOL, 75001 Paris, France
29, BOULEVARD DE SEBASTOPOL, 75001 Paris, France
9, RUE SAINT DENIS, 75001 Paris, France
89, RUE SAINT DENIS, 75001 Paris, France
2, PLACE SAINTE OPPORTUNE, 75001 Paris, France
48, PLACE SAINTE OPPORTUNE, 75001 Paris, France
2, RUE SAINTE OPPORTUNE, 75001 Paris, France
6, RUE SAINTE OPPORTUNE, 75001 Paris, France
1, RUE DU CYGNE, 75001 Paris, France
17, RUE DU CYGNE, 75001 Paris, France
3, RUE ETIENNE MARCEL, 75001 Paris, France
25, RUE ETIENNE MARCEL, 75001 Paris, France
3, RUE DE LA GRANDE TRUANDERIE, 75001 Paris, France
32, RUE DE LA GRANDE TRUANDERIE, 75001 Paris, France
8, RUE MONDETOUR, 75001 Paris, France
24, RUE MONDETOUR, 75001 Paris, France
2, RUE DE LA PETITE TRUANDERIE, 75001 Paris, France
8, RUE DE LA PETITE TRUANDERIE, 75001 Paris, France
9, RUE PIERRE LESCOT, 75001 Paris, France
30, RUE PIERRE LESCOT, 75001 Paris, France
3, RUE DES PRECHEURS, 75001 Paris, France
14, RUE DES PRECHEURS, 75001 Paris, France
